epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2119.06,0.32606,0.13165,0.00067,0.99391,0.99238,0.99492,0.9815,0.26426,0.09364,0.00064,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238
2,5385.64,0.33844,0.14172,0.00069,0.99104,0.99007,0.99478,0.97941,0.2687,0.10124,0.00065,0.0198982,0.00663272,0.0198982,0.00663272,0.0198982,0.00663272,0.0198982,0.00663272
3,8000.25,0.36364,0.15801,0.00076,0.99191,0.98939,0.99481,0.97541,0.281,0.10399,0.00068,0.0297002,0.00990006,0.0297002,0.00990006,0.0297002,0.00990006,0.0297002,0.00990006
4,11124.5,0.39128,0.17386,0.00081,0.99106,0.9867,0.99467,0.97557,0.27977,0.10775,0.00068,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,12615.1,0.39221,0.17432,0.00082,0.99273,0.99061,0.99486,0.9774,0.27677,0.10074,0.00067,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,14329.8,0.38935,0.172,0.00081,0.99199,0.99019,0.99485,0.97851,0.27206,0.10099,0.00066,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
