epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17350.4,0.42452,0.28795,0.8163,0.98789,0.98971,0.99106,0.94754,0.32271,0.18418,0.80064,0.007921,0.007921,0.007921
44,17709.6,0.42338,0.28556,0.81664,0.98762,0.98984,0.99115,0.94788,0.322,0.1836,0.80015,0.0078715,0.0078715,0.0078715
45,18115.5,0.42276,0.28475,0.81584,0.98736,0.99019,0.99126,0.94843,0.32099,0.18298,0.79959,0.007822,0.007822,0.007822
46,18484.4,0.4211,0.28415,0.8155,0.98756,0.98986,0.99134,0.94863,0.32054,0.1826,0.79926,0.0077725,0.0077725,0.0077725
47,18933.7,0.41989,0.28288,0.81517,0.98746,0.98994,0.99145,0.94885,0.31972,0.18182,0.79881,0.007723,0.007723,0.007723
48,19277.2,0.41903,0.28252,0.81501,0.9875,0.98996,0.99154,0.94954,0.31823,0.18123,0.7982,0.0076735,0.0076735,0.0076735
49,19739.9,0.41683,0.28104,0.81462,0.98753,0.9903,0.99166,0.95006,0.31724,0.18068,0.79772,0.007624,0.007624,0.007624
50,20085.9,0.41752,0.28117,0.81502,0.98759,0.99036,0.99176,0.95053,0.31617,0.18006,0.79727,0.0075745,0.0075745,0.0075745
51,20508.8,0.41489,0.27885,0.81375,0.98746,0.99073,0.99181,0.95069,0.31548,0.17954,0.79688,0.007525,0.007525,0.007525
52,20846.6,0.41527,0.27812,0.81449,0.98769,0.99083,0.99189,0.95108,0.31499,0.17889,0.79654,0.0074755,0.0074755,0.0074755
53,21271.5,0.41403,0.2785,0.81401,0.98788,0.99097,0.99198,0.95155,0.31428,0.1784,0.79618,0.007426,0.007426,0.007426
54,21630.8,0.4126,0.27716,0.81322,0.98788,0.99115,0.99209,0.95183,0.31348,0.17775,0.79594,0.0073765,0.0073765,0.0073765
55,22054,0.41179,0.27614,0.81312,0.98812,0.9909,0.99214,0.95212,0.31276,0.17739,0.79561,0.007327,0.007327,0.007327
56,22397.3,0.41136,0.27564,0.81325,0.98804,0.99094,0.99223,0.95231,0.31205,0.17671,0.79532,0.0072775,0.0072775,0.0072775
57,22821.7,0.41004,0.27417,0.81302,0.98841,0.99059,0.99228,0.95282,0.31118,0.17604,0.79502,0.007228,0.007228,0.007228
58,23157.5,0.4107,0.27506,0.81285,0.98851,0.99073,0.99237,0.95338,0.31032,0.17553,0.79465,0.0071785,0.0071785,0.0071785
59,23577,0.40753,0.2734,0.81158,0.98852,0.99137,0.9925,0.95382,0.30946,0.17477,0.79427,0.007129,0.007129,0.007129
60,23921.7,0.40768,0.27259,0.81197,0.98858,0.99175,0.99262,0.95403,0.30868,0.17419,0.79391,0.0070795,0.0070795,0.0070795
61,24339.6,0.40721,0.27248,0.81175,0.98889,0.99159,0.99266,0.95427,0.30794,0.17352,0.7936,0.00703,0.00703,0.00703
62,24686.6,0.40586,0.27123,0.81146,0.98905,0.99156,0.99275,0.95493,0.30698,0.17275,0.79331,0.0069805,0.0069805,0.0069805
63,25111.4,0.40512,0.27058,0.81154,0.98948,0.99164,0.99286,0.95534,0.30618,0.1722,0.79302,0.006931,0.006931,0.006931
64,25446.8,0.40454,0.26911,0.81123,0.98983,0.99142,0.99292,0.95594,0.30535,0.17166,0.79274,0.0068815,0.0068815,0.0068815
65,25867.1,0.40336,0.26887,0.81137,0.99019,0.9912,0.99297,0.95618,0.30453,0.17114,0.79245,0.006832,0.006832,0.006832
66,26207.2,0.40304,0.26887,0.81122,0.99015,0.99138,0.99298,0.95644,0.30389,0.17068,0.79216,0.0067825,0.0067825,0.0067825
67,26658.5,0.40097,0.26712,0.81025,0.99034,0.99139,0.99305,0.95681,0.30317,0.17016,0.79196,0.006733,0.006733,0.006733
68,26993.6,0.4015,0.26644,0.81031,0.99043,0.99158,0.99305,0.95708,0.30243,0.16945,0.79173,0.0066835,0.0066835,0.0066835
69,27400.4,0.40046,0.26698,0.81087,0.99067,0.99158,0.99311,0.95744,0.30179,0.16882,0.79148,0.006634,0.006634,0.006634
70,27743.9,0.39987,0.26673,0.81035,0.99097,0.99166,0.99314,0.95773,0.30109,0.16832,0.7912,0.0065845,0.0065845,0.0065845
71,28189.8,0.39902,0.26551,0.81012,0.99108,0.9917,0.99321,0.95799,0.30068,0.16777,0.79098,0.006535,0.006535,0.006535
72,28523.1,0.39809,0.26423,0.80967,0.99112,0.99186,0.99324,0.95825,0.30027,0.16748,0.7908,0.0064855,0.0064855,0.0064855
73,28945.1,0.39828,0.26399,0.80983,0.99159,0.99155,0.99327,0.95864,0.2999,0.16732,0.7906,0.006436,0.006436,0.006436
74,29289.8,0.3974,0.26475,0.80943,0.99206,0.99129,0.99333,0.95874,0.29929,0.16681,0.79032,0.0063865,0.0063865,0.0063865
75,29739.7,0.39657,0.26333,0.80939,0.99188,0.99159,0.99338,0.95889,0.29873,0.16626,0.79013,0.006337,0.006337,0.006337
76,30092.9,0.3948,0.26226,0.80872,0.99186,0.99181,0.99343,0.95911,0.29869,0.16572,0.79006,0.0062875,0.0062875,0.0062875
77,30541.3,0.39516,0.26165,0.80893,0.99212,0.99168,0.99346,0.95952,0.298,0.16534,0.78983,0.006238,0.006238,0.006238
78,30879.1,0.39404,0.26146,0.80866,0.99211,0.99175,0.99348,0.95975,0.29766,0.16491,0.78969,0.0061885,0.0061885,0.0061885
79,31320.3,0.39461,0.26136,0.80921,0.99181,0.99193,0.99351,0.95991,0.29734,0.16462,0.78958,0.006139,0.006139,0.006139
80,31656.1,0.39371,0.26036,0.80928,0.99197,0.99188,0.99355,0.95996,0.29699,0.16444,0.78935,0.0060895,0.0060895,0.0060895
81,32077.3,0.39281,0.26043,0.80849,0.99219,0.99178,0.99359,0.96,0.29711,0.16429,0.78934,0.00604,0.00604,0.00604
82,32407.5,0.39142,0.25915,0.80807,0.99211,0.99174,0.9936,0.96025,0.29681,0.16382,0.78919,0.0059905,0.0059905,0.0059905
83,32850.6,0.39078,0.25833,0.80825,0.99237,0.9919,0.99365,0.96052,0.29612,0.16344,0.789,0.005941,0.005941,0.005941
84,33185.7,0.38971,0.25848,0.80757,0.9923,0.99191,0.99367,0.96081,0.29568,0.16304,0.78886,0.0058915,0.0058915,0.0058915
85,33608,0.38884,0.25713,0.80727,0.99211,0.99219,0.99371,0.96091,0.29505,0.16258,0.78858,0.005842,0.005842,0.005842
86,33952.4,0.38915,0.25757,0.80711,0.99232,0.9923,0.99373,0.9611,0.29485,0.16226,0.78851,0.0057925,0.0057925,0.0057925
87,34413.5,0.38848,0.25695,0.80684,0.99221,0.99222,0.99373,0.96147,0.29433,0.16191,0.78839,0.005743,0.005743,0.005743
88,34757.8,0.38796,0.25653,0.8072,0.99228,0.99235,0.99375,0.96142,0.29384,0.16158,0.78823,0.0056935,0.0056935,0.0056935
89,35211,0.38735,0.2549,0.80712,0.99243,0.99248,0.99377,0.96172,0.29343,0.16131,0.78808,0.005644,0.005644,0.005644
90,35545.3,0.38614,0.25409,0.80712,0.99265,0.99244,0.99379,0.96195,0.29276,0.16109,0.78798,0.0055945,0.0055945,0.0055945
91,35968,0.38594,0.25477,0.80714,0.99251,0.99261,0.99383,0.96226,0.29233,0.1607,0.78787,0.005545,0.005545,0.005545
92,36311.7,0.38435,0.25306,0.80656,0.99263,0.99248,0.99384,0.96255,0.29197,0.16049,0.78775,0.0054955,0.0054955,0.0054955
93,36760.5,0.3857,0.25355,0.80668,0.99256,0.99253,0.99388,0.96258,0.2923,0.16046,0.7877,0.005446,0.005446,0.005446
94,37104.9,0.38418,0.25169,0.80661,0.99265,0.99264,0.99391,0.96255,0.29249,0.16003,0.78768,0.0053965,0.0053965,0.0053965
95,37523.1,0.38297,0.25121,0.80633,0.99281,0.99261,0.99394,0.9625,0.29242,0.15971,0.78763,0.005347,0.005347,0.005347
96,37866.9,0.3837,0.25116,0.80651,0.99281,0.99243,0.99395,0.96264,0.29215,0.15946,0.78754,0.0052975,0.0052975,0.0052975
97,38308.6,0.38369,0.25239,0.80651,0.99269,0.99257,0.99395,0.96271,0.29197,0.15922,0.78747,0.005248,0.005248,0.005248
98,38643.6,0.38145,0.2506,0.80549,0.99277,0.99268,0.99395,0.96272,0.29179,0.1591,0.78739,0.0051985,0.0051985,0.0051985
99,39065.2,0.38061,0.24992,0.8061,0.99292,0.99265,0.99397,0.96313,0.29117,0.15863,0.78729,0.005149,0.005149,0.005149
100,39408.5,0.38025,0.24952,0.8058,0.9932,0.99227,0.99397,0.96305,0.29154,0.15839,0.78731,0.0050995,0.0050995,0.0050995
101,39827,0.38006,0.24998,0.80532,0.99323,0.99236,0.99399,0.96314,0.29133,0.15808,0.78722,0.00505,0.00505,0.00505
102,40171.7,0.37973,0.24879,0.8057,0.99352,0.99262,0.99404,0.96328,0.29095,0.15789,0.78712,0.0050005,0.0050005,0.0050005
103,40577.9,0.37966,0.24848,0.80566,0.99394,0.99262,0.99407,0.9635,0.29038,0.1574,0.78699,0.004951,0.004951,0.004951
